person_name,person_id,officer_name,officer_id,candidate_name,candidate_id
"(u'Rey Colon',)","(15,)",Rey Colon,3369,,
"(u'Rey Colon',)","(15,)",Rey Colon,3631,,
"(u'Rey Colon',)","(15,)",Rey Colon,3633,,
"(u'Ricardo Munoz',)","(6,)",,,Ricardo Munoz,7187
"(u'Ricardo Munoz',)","(6,)",,,Ricardo Munoz,14810
"(u'Ricardo Munoz',)","(6,)",,,Ricardo Munoz,24348
"(u'Ricardo Munoz',)","(6,)",Ricardo Munoz,1448,,
"(u'Ricardo Munoz',)","(6,)",Ricardo Munoz,1449,,
"(u'Ricardo Munoz',)","(6,)",Ricardo Munoz,2291,,
"(u'Ricardo Munoz',)","(6,)",Ricardo Munoz,2292,,
"(u'Roberto Maldonado',)","(13,)",,,Roberto Maldonado,12655
"(u'Roberto Maldonado',)","(13,)",,,Roberto Maldonado,14712
"(u'Roberto Maldonado',)","(13,)",,,Roberto Maldonado,23923
"(u'Roderick T Sawyer',)","(5,)",,,Roderick T Sawyer,4623
"(u'Roderick T Sawyer',)","(5,)",,,Roderick T Sawyer,10268
"(u'Roderick T Sawyer',)","(5,)",,,Roderick T Sawyer,25044
"(u'Roderick T Sawyer',)","(5,)",Roderick Sawyer,3353,,
"(u'Scott Waguespack',)","(37,)",,,Scott Waguespack,21073
"(u'Scott Waguespack',)","(37,)",,,Scott Waguespack,26388
"(u'Scott Waguespack',)","(37,)",Scott Waguespack,3936,,
"(u'Scott Waguespack',)","(37,)",Scott Waguespack,5100,,
"(u'Tim Cullerton',)","(48,)",,,Tim Cullerton,25249
"(u'Tom Tunney',)","(28,)",,,Tom Tunney,17880
"(u'Tom Tunney',)","(28,)",,,Tom Tunney,22249
"(u'Tom Tunney',)","(28,)",Tom Tunney,142,,
"(u'Toni L Foulkes',)","(39,)",,,Toni L Foulkes,21287
"(u'Toni L Foulkes',)","(39,)",,,Toni L Foulkes,22262
"(u'Toni L Foulkes',)","(39,)",Toni Foulkes,4045,,
"(u'Toni L Foulkes',)","(39,)",Toni Foulkes,4748,,
"(u'Walter Burnett, Jr',)","(8,)",,,"Walter Burnett, Jr",8848
"(u'Walter Burnett, Jr',)","(8,)","Walter Burnett, Jr",2138,,
"(u'Will Burns',)","(43,)",,,Will Burns,22298
"(u'Will Burns',)","(43,)",,,Will Burns,25573
"(u'Will Burns',)","(43,)",Will Burns,4186,,
"(u'Willie B Cochran',)","(36,)",,,Willie B Cochran,21059
"(u'Willie B Cochran',)","(36,)",,,Willie B Cochran,22261
"(u'Willie B Cochran',)","(36,)",Willie B Cochran,3918,,
