name,committee,status,url
John Arena,Citizens to Elect John Arena,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22749
John Arena,Friends of 45,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24368
Joseph A Moore,Citizens for Joe Moore,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6380
Latasha Thomas,Citizens to Elect Latasha R Thomas,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15729
Latasha Thomas,17th Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16229
Leslie A Hairston,Fifth Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14992
Leslie A Hairston,Friends of Leslie A Hairston,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14216
Lona Lane,Citizens to Elect Lona Lane,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20015
Margaret Laurino,Friends of Margaret Laurino,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9808
Margaret Laurino,39th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11463
Marty Quinn,Citizens for Marty Quinn,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23282
Mary O'Connor,Friends for Mary O'Connor,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20673
Mary O'Connor,41st Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22609
Matt O'Shea,19th Ward Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=376
Matt O'Shea,Friends of Matt O'Shea,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22919
Michael Chandler,Citizens For New Beginnings In The 24th Ward,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10760
Michael Chandler,Comm To Elect Michael D Chandler,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10930
Michael Chandler,Chandler for Alderman,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23005
