name,committee,url,current_funds,invest_total,total_assets
Pat Dowell,Citizens for Pat Dowell,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16892,186936.72,0.0,186936.72
Tom Tunney,Citizens for Tunney,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17150,241446.72,0.0,241446.72
Tom Tunney,44th Ward Regular Democratic Org,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=468,39831.51,0.0,39831.51
Ariel E Reboyras,Citizens for Ariel E Reboyras,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17163,120300.53,0.0,120300.53
Ariel E Reboyras,30th Ward Regular Democratic Organization,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18128,4219.55,0.0,4219.55
George A Cardenas,Friends of George A Cardenas,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17290,32785.46,0.0,32785.46
George A Cardenas,12th Ward Ad Book Committee,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21647,0.0,0.0,0.0
Brendan Reilly,Citizens for Alderman Reilly,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19263,758236.22,0.0,758236.22
Brendan Reilly,42nd Ward Democratic Org,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25117,0.0,0.0,0.0
James Cappleman,Citizens for Cappleman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19747,70658.53,0.0,70658.53
Nicholas Sposato,Friends of Nicholas Sposato,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19830,35687.08,0.0,35687.08
Nicholas Sposato,36th Ward Independent Democratic Organization,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24204,0.0,0.0,0.0
Willie B Cochran,Citizens to Elect Willie B Cochran,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19880,59692.58,0.0,59692.58
Scott Waguespack,Friends of Michael O'Connor PAC,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15805,0.0,0.0,0.0
Scott Waguespack,Citizens for Waguespack,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19898,19067.21,0.0,19067.21
Michelle A Harris,Friends of Michelle A Harris,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20016,147079.46,0.0,147079.46
Michelle A Harris,8th Ward Regular Democratic Org,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=553,33268.4,0.0,33268.4
Toni L Foulkes,Friends to Elect Toni L Foulkes,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20107,14956.22,0.0,14956.22
Toni L Foulkes,15th Ward Democratic Club of Chicago,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22910,204.79,0.0,204.79
Deb Mell,Citizens for Deb Mell,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20627,7604.12,0.0,7604.12
