query,candidate_name_match,candidate_office,candidate_url
Latasha Thomas,Latasha Thomas,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=18868
Leslie Hairston,Leslie A Hairston,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=13825
Leslie Hairston,Leslie A Hairston,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=14778
Lona Lane,Lona Lane,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=14150
Lona Lane,Lona Lane,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22254
Margaret Laurino,Margaret Laurino,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=7853
Marty Quinn,Marty Quinn,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=25487
Mary O'Connor,Mary O'Connor,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=21946
Mary O'Connor,Mary O'Connor,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=25565
Matt O'Shea,Matt O'Shea,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=20044
Matt O'Shea,Matt O'Shea,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=25077
Michael Chandler,Michael Chandler,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=9045
Michael Chandler,Michael D Chandler,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=10495
Michael Zalewski,Michael J Zalewski,State Representative 21st District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22508
Michele Smith,Michele Smith,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=20877
Michele Smith,Michele Smith,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=24971
Michelle Harris,Michelle A Harris,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=21169
Michelle Harris,Michelle A Harris,State Central Committeewoman,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=28294
Natashia Holmes,Natashia Holmes,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=27778
Nicholas Sposato,Nicholas Sposato,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=21027
